groupId,artifactId,mcrTags
io.janusproject.sre,io.janusproject.test.framework,"framework,testing,io"
org.openhab.addons.bundles,org.openhab.binding.tesla,"binding,bundle"
org.apache.zeppelin,spark-shims,"spark,apache"
org.apache.samza,samza-yarn_2.10,"yarn,hadoop,apache"
com.navercorp.pinpoint,pinpoint-mysql-jdbc-driver-plugin,"plugin,database,sql,jdbc,driver,mysql"
org.dcm4che.dcm4chee-arc,dcm4chee-arc-validation,validation
org.apache.samza,samza-yarn_2.11,"yarn,hadoop,apache"
org.apache.amber,amber-oauth2-common,"authentication,apache,oauth"
com.hortonworks.streamline,tag-registry,registry
com.infobip,infobip-spring-data-jpa-querydsl,"persistence,data,spring,jpa"
org.kie,kie-pmml-models-drools-common,"rule-engine,model"
com.jcabi,jcabi-dynamo,"dynamodb,client,database"
org.opencastproject,opencast-transcription-service-amberscript,service
org.springframework.shell,spring-shell-standard-commands,"shell,spring"
com.webcohesion.enunciate,enunciate-jaxrs,"rest,jaxrs"
org.apache.nifi.registry,nifi-registry-revision-spring-jdbc,"sql,registry,jdbc,spring,apache"
org.apache.pinot,pinot-csv,"csv,apache"
org.apache.camel.quarkus,camel-quarkus-aws2-iam-deployment,"aws,amazon,deployment,apache,camel"
org.odpi.egeria,project-management-api,"management,api"
org.geoserver.community,gs-cog,geo
org.zalando,logbook-httpclient5,http
org.springframework.cloud.fn,cdc-debezium-common,"spring,cloud"
org.apache.camel.quarkus,camel-quarkus-direct-deployment,"deployment,apache,camel"
org.apache.wicket.experimental.wicket9,wicket-http2-tomcat,"experimental,server,webserver,apache,tomcat,wicket,http"
au.com.bytecode.opencsv.wso2,opencsv,"csv,tabular,bytecode"
org.jbpm,jbpm-test,"bpm,testing"
io.springlets,springlets-data-jpa,"persistence,data,jpa,io"
org.openhab.addons.bundles,org.openhab.binding.urtsi,"binding,bundle"
org.odpi.egeria,governance-action-connectors,connector
org.springframework.cloud,spring-cloud-gcp-starter-pubsub,"messaging,spring,cloud,starter"
org.apache.camel.quarkus,camel-quarkus-barcode,"apache,camel"
org.nuxeo.ecm.core,nuxeo-core-persistence,persistence
com.woorea,jersey2-connector,"connector,webservice"
org.graphfoundation.ongdb,ongdb-primitive-collections,collections
org.wildfly.swarm,topology-webapp-modules,"module,webapp"
org.wso2.carbon.analytics,org.wso2.carbon.event.simulator.core,"event,analytics"
org.apache.crunch,crunch-contrib,apache
com.oracle.oci.sdk,oci-java-sdk-resourcemanager,sdk
org.wikimedia.utils,http-client-utils,"client,http"
ring.velocity,ring.velocity,clojure
com.facebook.presto,presto-password-authenticators,facebook
org.jenkins-ci.plugins,simple-theme-plugin,"plugin,jenkins"
org.pentaho.reporting.library,configuration-editor,"config,reporting,editor,library"
org.nuxeo.ecm.platform,nuxeo-platform,platform
org.openhab.core.bundles,org.openhab.core.io.jetty.certificate,"bundle,server,webserver,io,jetty"
io.vertx,vertx-http-service-factory,"service,factory,vertx,io,http"
org.wso2.ei,org.wso2.micro.integrator.bootstrap,bootstrap
org.openhab.binding,org.openhab.binding.tacmi,"plugin,binding,eclipse"
com.qaprosoft,carina-aws-s3,"aws,s3,amazon"
io.fabric8,fabric8-maven-plugin-enricher-fabric8,"plugin,build,build-system,maven,io"
com.thinkbiganalytics.kylo,kylo-commons-test-persistence,"persistence,testing"
com.taobao.metamorphosis,metamorphosis-server,server
org.apache.dolphinscheduler,dolphinscheduler-datasource-postgresql,"database,data,postgresql,apache,datasource"
org.openhab.core.bundles,org.openhab.core.config.discovery.mdns,"bundle,config,discovery"
org.apache.iceberg,iceberg-data,"data,apache"
org.nuxeo.lib.core,nuxeo-core-storage-sql-extensions,"sql,library,storage,extension"
org.codehaus.cargo,cargo-maven2-plugin,"plugin,build,build-system,maven,codehaus"
software.amazon.awssdk,elasticsearch,"aws,amazon,elasticsearch,elastic,search"
org.openhab.binding,org.openhab.binding.networkhealth,"plugin,binding,eclipse"
io.airlift.drift,drift-transport-netty,"network,socket,transport,netty,io"
io.quarkus,quarkus-logging-gelf,"logging,io"
org.glassfish.jersey.ext,jersey-mvc-freemarker,"template,webservice,mvc"
com.okta.spring,okta-spring-boot-integration-tests-common-servlet,"integration,spring,servlet,testing"
org.seleniumhq.webdriver,webdriver-common,"webdriver,testing,web"
org.webjars.npm,xss,"web,assets"
org.mule.tests,mule-heisenberg-extension,"testing,extension"
org.mybatis,mybatis,"persistence,relational,mapping"
org.apache.camel.quarkus,camel-quarkus-google-mail-deployment,"deployment,google,apache,mail,camel"
com.pivovarit,parallel-collectors,"collector,parallel"
org.languagetool,language-de-DE-x-simple-language,language
xerces,xmlParserAPIs,"parser,xml"
org.jboss.arquillian,arquillian-bom,"bom,jboss"
com.walmartlabs.concord.server.plugins,kafka-event-sink,"plugin,server,streaming,event,kafka"
xerces-J,xml-resolver,"parser,xml"
com.github.mpusher,mpush-netty,"network,github,socket,netty"
org.apache.logging.log4j,log4j-iostreams,"logging,apache"
kg.apc,jmeter-plugins-charts,"plugin,visualization,chart"
org.openhab.binding,org.openhab.binding.serial,"plugin,binding,eclipse"
io.helidon.security.providers,helidon-security-providers-header,"provider,security,io"
com.zlt,search-client,"client,search"
org.apache.flink,flink-yarn_2.11,"yarn,hadoop,apache"
org.apache.archiva,test-repository,"repository,testing,apache"
org.apache.felix,org.apache.felix.main,"apache,osgi"
org.exist-db,exist-security-ldap,"security,ldap,directory"
org.apache.cxf,cxf-distribution-javadoc,"distribution,apache"
org.quickperf,quick-perf-sql-spring4,"sql,spring,performance"
org.quickperf,quick-perf-sql-spring5,"sql,spring,performance"
org.geoserver,gs-restconfig-wcs,geo
org.apache.cxf.karaf,cxf-karaf-commands,"apache,osgi"
com.amazonaws,aws-java-sdk-frauddetector,"aws,amazon,sdk"
io.quarkus,quarkus-mongodb-panache-kotlin-deployment,"database,deployment,io,mongodb,kotlin"
org.dkpro.statistics,dkpro-statistics-agreement,stats
io.quarkus,quarkus-kubernetes-config,"kubernetes,config,io"
de.codecentric,spring-boot-admin-client,"admin,spring,client"
org.netbeans.api,org-netbeans-modules-print,"module,ide,api,netbeans"
io.playn,playn-webgl,"io,webgl"
org.apache.tomee,openejb-daemon,"ejb,apache"
org.odpi.egeria,organization-integrator-spring,spring
org.apache.phoenix,phoenix-tracing-webapp,"webapp,apache,tracing"
