repositoryName,mcrTags
FenixEdu/fenixedu-academic,"[annotations,apache,api,beans,binding,calendar,client,collections,date,excel,github,google,html,http,io,javax,jsf,json,jsp,library,mail,messaging,metadata,parser,pdf,portal,reflection,render,scheduling,sdk,servlet,sms,specs,spreadsheet,spring,standard,structures,taglib,time,validation,web-framework]"
vaadin/spring,"[annotations,apache,api,assets,authentication,binding,client,date,editor,forms,github,gwt,http,javax,junit,mock,mocking,module,notification,oauth,security,specs,spring,standard,testing,text,time,web,web-framework,xml]"
apache/usergrid,"[actor,agent,akka,amazon,android,annotations,aop,apache,api,aspect,asynchronous,authentication,aws,base64,beans,binding,bridge,broker,bson,build,build-system,bytecode,captcha,cassandra,chart,cli,client,cloud,cluster,codec,codehaus,collections,command-line,commons,communication,compiler,compression,computing,concurrency,config,connector,console,container,csv,database,date,dependency-injection,distributed,driver,eclipse,elastic,elasticsearch,embedded,encoding,expression,extension,framework,generator,git,github,google,groovy,gwt,hadoop,hashing,hazelcast,html,http,io,javaee,javax,jaxrs,jdbc,jetty,jms,json,jsp,junit,jvm,jwt,language,library,logging,mail,management,mapping,math,maven,memory,message,metadata,metrics,mock,mocking,model,module,monitoring,mvc,netty,network,nosql,oauth,parser,performance,persistence,plugin,pooling,postgresql,profiling,protocol,provider,queue,reactive,reflection,remote,remoting,rest,runtime,s3,scala,scm,sdk,search,security,serialization,server,servlet,slf4j,socket,specs,spring,sql,sqlite,ssh,standard,storage,streaming,structures,support,swagger,tabular,template,terminal,testing,thrift,time,tomcat,tools,typesafe,uuid,version-control,visualization,web,web-framework,webapp,webserver,webservice,xml,yaml]"
okta/okta-spring-boot,"[api,assertion,authentication,config,expression,github,http,integration,io,language,logging,mock,mocking,oauth,quality,reactive,rest,sdk,security,servlet,spring,starter,testing,testng]"
vmware/vsphere-automation-sdk-java,"[annotations,apache,api,beans,binding,bridge,cli,client,command-line,commons,config,http,json,logging,metadata,parser,reflection,slf4j]"
dlsc-software-consulting-gmbh/GMapsFX,"[api,binding,graphics,junit,logging,mock,mocking,slf4j,swing,testing,ui,web,xml]"
bengtmartensson/IrScrutinizer,"[testing,testng]"
fnproject/docs,"[annotations,api,binding,ftp,github,io,json,junit,logging,metadata,mocking,network,runtime,slf4j,testing]"
jexp/batch-import,"[collections,csv,database,graph,index,junit,logging,lucene,mock,mocking,neo4j,nosql,structures,tabular,testing]"
tdebatty/java-string-similarity,"[annotations,junit,metadata,testing]"
alibaba/canal,"[amqp,analysis,annotations,aop,apache,api,aspect,base64,beans,bigdata,bridge,broker,cache,client,cloud,codec,collections,commons,compression,concurrency,connector,coordination,database,date,defect,dependency-injection,disruptor,distributed,driver,elastic,elasticsearch,embedded,encoding,expression,filtering,framework,github,google,hadoop,hbase,http,io,javax,jdbc,json,junit,kafka,language,logging,manager,mapping,message,metadata,mock,mocking,module,mysql,netty,network,orm,persistence,pooling,postgresql,prometheus,protocol,query,queue,rabbitmq,reflection,regexp,relational,rest,search,serialization,server,slf4j,socket,specs,spring,sql,standard,streaming,structures,testing,time,transport,yaml,zookeeper]"
codelibs/elasticsearch-dataformat,"[apache,api,client,cluster,csv,elastic,elasticsearch,excel,junit,logging,runner,schema,search,server,spreadsheet,tabular,testing]"
rest-assured/rest-assured,"[annotations,aop,apache,api,aspect,assertion,binding,bridge,bundle,client,cloud,codehaus,commons,config,container,dependency-injection,eclipse,extension,framework,github,google,groovy,html,http,io,javax,jetty,json,junit,jvm,kotlin,language,library,logging,mapping,matching,metadata,mime,mock,mocking,module,mvc,osgi,parser,proxy,quality,rest,runtime,scala,schema,security,server,servlet,slf4j,specs,spring,standard,support,testing,tools,upload,url,validation,web,webapp,webserver,xml]"
RojerAlone/shop,"[aop,apache,api,aspect,binding,client,commons,connector,database,dependency-injection,driver,framework,javax,jdbc,json,junit,logging,mail,mapping,mvc,mysql,persistence,pool,pooling,redis,relational,servlet,slf4j,specs,spring,sql,standard,support,testing,transaction,upload,web,xml]"
wvengen/proguard-maven-plugin,"[ant,apache,api,build,build-system,io,junit,maven,model,plugin,testing,tools]"
vert-x3/vertx-web,"[apache,api,assertion,authentication,bytecode,client,commons,compiler,database,engine,expression,github,graphql,io,json,junit,language,logging,mock,mocking,oauth,parser,quality,reactive,redis,runtime,schema,service,slf4j,streaming,swagger,template,testing,validation,vertx,web,webservice]"
sanshengshui/netty-learning-example,"[annotation,api,base64,code,codec,codegen,config,connector,cryptography,data,database,driver,encoding,engine,framework,generator,google,grpc,io,jpa,json,junit,logging,mock,mocking,mongodb,mysql,netty,network,persistence,processor,protocol,rpc,serialization,slf4j,socket,spring,starter,stub,testing]"
apache/camel-quarkus,"[amazon,amqp,apache,api,avro,aws,azure,base64,beans,binding,bpm,bridge,cache,calendar,camel,cbor,client,cloud,collector,compression,config,consul,couchdb,cron,cryptography,csv,database,deployment,digitalocean,directory,disruptor,dns,dsl,elastic,elasticsearch,engine,etcd,eventbus,facebook,ftp,geo,git,github,google,graphql,groovy,grpc,hadoop,hazelcast,hbase,http,index,influxdb,integration,io,jboss,jdbc,jetty,jms,jpa,json,kafka,kotlin,kubernetes,lambda,language,ldap,leveldb,logging,lucene,machine-learning,mail,management,manager,messaging,metrics,mock,mongodb,monitoring,mqtt,mustache,mysql,netty,network,openstack,parser,pdf,persistence,platform,postgresql,process,protocol,queue,rabbitmq,reactive,redis,rest,routing,rpc,rss,s3,salesforce,scheduling,scm,search,security,serialization,server,servlet,slf4j,sms,snmp,soap,socket,solr,spark,spring,sql,ssh,storage,streaming,stub,support,telephony,template,testing,thrift,tracing,transaction,twitter,validation,vertx,weather,web,webserver,websocket,xml,xmpp,xslt,yaml,zookeeper]"
winder/Universal-G-Code-Sender,"[apache,assertion,barcode,bundle,cli,client,command-line,commons,container,csv,dependency-injection,eclipse,google,graphics,http,io,javax,jetty,json,junit,jvm,kotlin,language,layout,matching,mock,mocking,native,opengl,parser,quality,server,servlet,specs,standard,swing,tabular,testing,ui,web,webserver,webservice]"
upyun/java-sdk,"[client,http,json,junit,testing]"
apache/metron,"[analysis,analytics,annotations,apache,api,base64,beans,binding,bridge,bytecode,cli,client,cluster,codec,codehaus,collections,command-line,commons,compiler,compression,config,coordination,database,defect,dependency-injection,directory,distributed,eclipse,encoding,encryption,engine,file-system,framework,ftp,geospatial,github,google,hadoop,hbase,io,javax,jpa,json,junit,kafka,ldap,logging,managment,mapping,matching,math,metadata,mock,mocking,netty,network,parser,persistence,processing,proxy,reflection,runner,runtime,schema,security,server,slf4j,socket,spatial,specs,spring,standard,storage,stream,streaming,structures,swagger,template,testing,text,ui,validation,vfs,web,webservice,xml,yarn]"
arturmkrtchyan/iban4j,"[benchmark,junit,performance,testing]"
intive-FDV/DynamicJasper,"[apache,api,barcode,beans,bridge,collections,commons,connector,database,dependency-injection,driver,embedded,excel,font,graphics,hibernate,hsql,javax,junit,logging,mapping,mysql,persistence,reflection,relational,servlet,specs,spreadsheet,spring,sql,standard,structures,svg,testing,transaction,web-framework]"
graphaware/neo4j-timetree,"[database,date,graph,neo4j,time]"
radkovo/CSSBox,"[api,css,html,junit,logging,parser,slf4j,styles,testing]"
inmite/android-validation-komensky,"[android,google,junit,library,platform,support,testing,validation]"
Erudika/para,"[amazon,annotations,apache,api,authentication,aws,base64,beans,binding,bridge,cache,cbor,classpath,client,codec,codehaus,commons,concurrent,config,container,dao,database,dependency-injection,directory,dynamodb,eclipse,encoding,encryption,engine,expression,framework,github,google,hashing,hibernate,html,http,index,io,javax,jaxrs,jetty,jmx,json,junit,language,ldap,logging,lucene,mail,management,markdown,metadata,metrics,mock,mocking,module,monitoring,parser,performance,persistence,provider,reflection,rest,s3,search,security,server,servlet,slf4j,specs,spring,sql,standard,starter,streaming,tags,template,testing,text,typesafe,validation,web,webserver,webservice,xml,yaml]"
lishid/OpenInv,"[analysis,annotations,api,defect,metadata]"
apache/servicecomb-toolkit,"[annotations,apache,api,assets,bootstrap,bridge,build,build-system,bytecode,cli,code,codegen,collections,command-line,commons,compatibility,eclipse,generator,git,github,io,javax,jaxrs,junit,logging,maven,metadata,mock,mocking,model,module,parser,plugin,pojo,provider,rest,rules,scm,slf4j,specs,spring,standard,structures,swagger,system,testing,toolkit,tools,validation,version-control,web]"
eBay/parallec,"[actor,akka,annotations,apache,api,asynchronous,base64,beans,binding,client,cluster,codec,codehaus,commons,concurrency,dependency-injection,distributed,encoding,google,http,io,json,junit,logging,metadata,mock,mocking,network,slf4j,spring,ssh,testing,typesafe]"
arangodb/arangodb-java-driver,"[apache,api,base64,client,codec,encoding,http,junit,logging,matching,reflection,slf4j,testing]"
keedio/flume-ng-sql-source,"[apache,api,csv,distributed,hibernate,json,junit,logging,mapping,mock,mocking,module,persistence,pooling,relational,tabular,testing]"
coinbase/coinbase-java,"[apache,api,base64,client,codec,csv,currency,date,encoding,http,io,junit,mock,mocking,module,money,tabular,testing,time]"
eclipse/eclipse.jdt.ls,"[annotations,apache,assertion,cli,code,codegen,collections,command-line,commons,engine,generator,google,io,junit,matching,mock,mocking,parser,quality,structures,testing]"
RaiMan/SikuliX-2014,"[apache,binding,cli,command,command-line,commons,execution,external,forms,ftp,github,graphics,json,junit,jvm,language,layout,logging,network,parser,process,python,ruby,runtime,slf4j,swing,testing,ui]"
SeleniumHQ/fluent-selenium,"[io,junit,management,matching,metrics,mock,mocking,monitoring,performance,selenium,testing,web]"
OpenConext/Mujina,"[apache,client,extension,github,http,io,mocking,security,spring,testing]"
chanjarster/weixin-java-tools,"[apache,api,base64,client,codec,dependency-injection,eclipse,encoding,fluent,google,http,io,jetty,json,junit,logging,mime,mock,mocking,server,servlet,slf4j,testing,testng,web,webserver,xml]"
romankh3/image-comparison,"[api,junit,mock,mocking,testing]"
sensepost/mallet,"[binding,cli,command-line,database,embedded,expression,framework,github,graph,io,jdbc,json,junit,language,netty,network,parser,socket,spring,sql,swing,testing,ui]"
gkcs/Competitive-Programming,"[api,client,extension,google,junit,service,testing]"
