dependency1,dependency2,count,count1,count2,proportion1,proportion2,maxProportion
org.junit.jupiter:junit-jupiter,org.springframework:spring-expression,3,157,113,0.02,0.03,0.03
org.easymock:easymock,org.springframework:spring-context-support,20,183,155,0.11,0.13,0.13
org.easymock:easymock,org.slf4j:slf4j-log4j12,67,183,521,0.37,0.13,0.37
org.apache.commons:commons-pool2,org.slf4j:jcl-over-slf4j,30,117,312,0.26,0.1,0.26
io.dropwizard.metrics:metrics-core,org.springframework:spring-beans,25,154,254,0.16,0.1,0.16
com.github.ben-manes.caffeine:caffeine,org.apache.curator:curator-framework,14,111,119,0.13,0.12,0.13
com.github.ben-manes.caffeine:caffeine,org.codehaus.plexus:plexus-utils,11,111,144,0.1,0.08,0.1
com.github.ben-manes.caffeine:caffeine,com.jayway.jsonpath:json-path,17,111,129,0.15,0.13,0.15
org.apache.maven:maven-plugin-api,org.openjdk.jmh:jmh-core,29,267,215,0.11,0.13,0.13
io.springfox:springfox-swagger2,org.springframework.boot:spring-boot-starter-web,29,142,145,0.2,0.2,0.2
io.springfox:springfox-swagger2,org.springframework:spring-jdbc,20,142,220,0.14,0.09,0.14
io.springfox:springfox-swagger2,org.springframework:spring-orm,7,142,126,0.05,0.06,0.06
org.hamcrest:hamcrest,org.hamcrest:hamcrest-all,8,154,236,0.05,0.03,0.05
org.eclipse.jetty:jetty-server,org.springframework:spring-test,61,265,341,0.23,0.18,0.23
org.aspectj:aspectjrt,org.bouncycastle:bcprov-jdk15on,11,111,198,0.1,0.06,0.1
commons-fileupload:commons-fileupload,org.apache.commons:commons-collections4,53,245,232,0.22,0.23,0.23
io.springfox:springfox-swagger-ui,org.springframework:spring-expression,11,128,113,0.09,0.1,0.1
org.apache.commons:commons-collections4,org.seleniumhq.selenium:selenium-java,9,232,100,0.04,0.09,0.09
org.apache.commons:commons-collections4,org.quartz-scheduler:quartz,36,232,141,0.16,0.26,0.26
log4j:log4j,org.awaitility:awaitility,26,483,161,0.05,0.16,0.16
commons-validator:commons-validator,junit:junit,81,108,2290,0.75,0.04,0.75
org.apache.commons:commons-compress,org.hsqldb:hsqldb,32,244,197,0.13,0.16,0.16
cglib:cglib,org.seleniumhq.selenium:selenium-java,3,135,100,0.02,0.03,0.03
cglib:cglib,org.apache.maven:maven-core,8,135,192,0.06,0.04,0.06
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,org.openjdk.jmh:jmh-core,15,144,215,0.1,0.07,0.1
org.mongodb:mongo-java-driver,org.mybatis.spring.boot:mybatis-spring-boot-starter,8,119,142,0.07,0.06,0.07
commons-cli:commons-cli,org.slf4j:slf4j-simple,71,384,386,0.18,0.18,0.18
commons-cli:commons-cli,org.apache.avro:avro,50,384,121,0.13,0.41,0.41
com.alibaba:fastjson,org.javassist:javassist,42,338,229,0.12,0.18,0.18
com.alibaba:fastjson,org.junit.jupiter:junit-jupiter-params,9,338,171,0.03,0.05,0.05
javax.annotation:javax.annotation-api,org.apache.kafka:kafka-clients,35,244,162,0.14,0.22,0.22
org.apache.lucene:lucene-core,org.mongodb:mongo-java-driver,20,140,119,0.14,0.17,0.17
org.apache.lucene:lucene-core,org.testng:testng,19,140,286,0.14,0.07,0.14
com.thoughtworks.xstream:xstream,org.quartz-scheduler:quartz,21,127,141,0.17,0.15,0.17
io.netty:netty-handler,org.powermock:powermock-api-mockito2,13,117,105,0.11,0.12,0.12
org.apache.commons:commons-lang3,org.springframework:spring-expression,62,994,113,0.06,0.55,0.55
org.awaitility:awaitility,org.junit.vintage:junit-vintage-engine,23,161,122,0.14,0.19,0.19
org.awaitility:awaitility,org.mockito:mockito-junit-jupiter,28,161,118,0.17,0.24,0.24
org.apache.curator:curator-framework,org.springframework:spring-context,42,119,435,0.35,0.1,0.35
com.google.code.findbugs:jsr305,mysql:mysql-connector-java,58,332,536,0.17,0.11,0.17
ch.qos.logback:logback-classic,org.apache.logging.log4j:log4j-core,77,701,397,0.11,0.19,0.19
org.codehaus.jackson:jackson-core-asl,org.eclipse.jetty:jetty-util,24,102,113,0.24,0.21,0.24
javax.ws.rs:javax.ws.rs-api,org.springframework:spring-webmvc,29,137,265,0.21,0.11,0.21
javax.ws.rs:javax.ws.rs-api,org.apache.maven:maven-artifact,15,137,125,0.11,0.12,0.12
org.mockito:mockito-core,org.springframework:spring-expression,53,922,113,0.06,0.47,0.47
org.springframework:spring-beans,org.springframework:spring-context,234,254,435,0.92,0.54,0.92
javax.servlet:jstl,org.apache.commons:commons-collections4,16,124,232,0.13,0.07,0.13
org.apache.httpcomponents:httpmime,org.hibernate:hibernate-entitymanager,12,148,108,0.08,0.11,0.11
commons-httpclient:commons-httpclient,org.mockito:mockito-core,51,139,922,0.37,0.06,0.37
com.jcraft:jsch,javax.mail:mail,25,101,156,0.25,0.16,0.25
com.fasterxml.jackson.core:jackson-databind,org.apache.commons:commons-pool2,63,850,117,0.07,0.54,0.54
org.apache.commons:commons-text,org.apache.kafka:kafka-clients,24,188,162,0.13,0.15,0.15
javax.servlet:javax.servlet-api,org.codehaus.jackson:jackson-mapper-asl,60,491,155,0.12,0.39,0.39
javax.validation:validation-api,org.apache.derby:derby,14,194,101,0.07,0.14,0.14
javax.validation:validation-api,org.apache.logging.log4j:log4j-slf4j-impl,23,194,248,0.12,0.09,0.12
org.codehaus.plexus:plexus-utils,org.hibernate:hibernate-validator,14,144,150,0.1,0.09,0.1
org.codehaus.plexus:plexus-utils,org.mockito:mockito-core,64,144,922,0.44,0.07,0.44
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,org.hamcrest:hamcrest-all,20,110,236,0.18,0.08,0.18
org.apache.ant:ant,org.apache.curator:curator-framework,7,153,119,0.05,0.06,0.06
org.antlr:antlr4-runtime,org.apache.maven:maven-core,14,116,192,0.12,0.07,0.12
org.hamcrest:hamcrest-core,org.scala-lang:scala-library,22,219,173,0.1,0.13,0.13
com.fasterxml.jackson.core:jackson-core,com.h2database:h2,114,538,367,0.21,0.31,0.31
com.fasterxml.jackson.core:jackson-core,org.apache.lucene:lucene-analyzers-common,43,538,110,0.08,0.39,0.39
com.fasterxml.jackson.core:jackson-core,org.codehaus.plexus:plexus-utils,43,538,144,0.08,0.3,0.3
com.fasterxml.jackson.core:jackson-core,org.reflections:reflections,74,538,172,0.14,0.43,0.43
org.apache.logging.log4j:log4j-slf4j-impl,org.codehaus.groovy:groovy-all,11,248,119,0.04,0.09,0.09
org.apache.logging.log4j:log4j-slf4j-impl,org.postgresql:postgresql,48,248,251,0.19,0.19,0.19
com.google.inject:guice,org.slf4j:slf4j-jdk14,10,192,110,0.05,0.09,0.09
com.google.inject:guice,org.springframework:spring-core,27,192,337,0.14,0.08,0.14
org.springframework.boot:spring-boot-starter-test,org.springframework:spring-jdbc,24,130,220,0.18,0.11,0.18
org.junit.jupiter:junit-jupiter-api,org.openjdk.jmh:jmh-generator-annprocess,37,288,202,0.13,0.18,0.18
com.googlecode.json-simple:json-simple,org.apache.logging.log4j:log4j-slf4j-impl,17,157,248,0.11,0.07,0.11
jakarta.xml.bind:jakarta.xml.bind-api,org.apache.kafka:kafka-clients,16,114,162,0.14,0.1,0.14
commons-codec:commons-codec,joda-time:joda-time,166,596,381,0.28,0.44,0.44
mysql:mysql-connector-java,org.apache.commons:commons-csv,46,536,134,0.09,0.34,0.34
com.google.code.gson:gson,javax.servlet:javax.servlet-api,149,674,491,0.22,0.3,0.3
org.apache.thrift:libthrift,org.jsoup:jsoup,8,104,238,0.08,0.03,0.08
org.apache.httpcomponents:httpcore,org.mockito:mockito-core,148,268,922,0.55,0.16,0.55
javax.activation:activation,org.eclipse.jetty:jetty-util,10,105,113,0.1,0.09,0.1
org.apache.commons:commons-pool2,org.projectlombok:lombok,30,117,435,0.26,0.07,0.26
com.alibaba:druid,org.apache.maven:maven-core,2,148,192,0.01,0.01,0.01
io.dropwizard.metrics:metrics-core,org.hibernate:hibernate-entitymanager,7,154,108,0.05,0.06,0.06
com.github.ben-manes.caffeine:caffeine,org.apache.avro:avro,22,111,121,0.2,0.18,0.2
org.apache.maven:maven-plugin-api,org.hibernate:hibernate-validator,20,267,150,0.07,0.13,0.13
javax.xml.bind:jaxb-api,org.slf4j:jcl-over-slf4j,66,305,312,0.22,0.21,0.22
javax.xml.bind:jaxb-api,org.apache.logging.log4j:log4j-slf4j-impl,48,305,248,0.16,0.19,0.19
org.easymock:easymock,org.mockito:mockito-junit-jupiter,6,183,118,0.03,0.05,0.05
org.projectlombok:lombok,org.scala-lang:scala-library,17,435,173,0.04,0.1,0.1
org.slf4j:slf4j-simple,org.springframework.security:spring-security-web,18,386,100,0.05,0.18,0.18
org.slf4j:slf4j-simple,xerces:xercesImpl,20,386,113,0.05,0.18,0.18
org.assertj:assertj-core,xerces:xercesImpl,21,462,113,0.05,0.19,0.19
org.apache.commons:commons-collections4,org.apache.curator:curator-recipes,30,232,131,0.13,0.23,0.23
io.netty:netty-all,org.springframework:spring-tx,25,230,172,0.11,0.15,0.15
io.netty:netty-all,org.apache.ant:ant,11,230,153,0.05,0.07,0.07
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,org.ow2.asm:asm,14,144,183,0.1,0.08,0.1
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,org.hibernate:hibernate-validator,16,144,150,0.11,0.11,0.11
