dependency1,dependency2,count,count1,count2,proportion1,proportion2,maxProportion
org.hamcrest:hamcrest-all,org.junit.jupiter:junit-jupiter-params,12,236,171,0.05,0.07,0.07
org.apache.httpcomponents:httpmime,org.apache.lucene:lucene-analyzers-common,15,148,110,0.1,0.14,0.14
com.jcraft:jsch,org.apache.logging.log4j:log4j-slf4j-impl,14,101,248,0.14,0.06,0.14
com.fasterxml.jackson.core:jackson-databind,org.openjdk.jmh:jmh-core,78,850,215,0.09,0.36,0.36
com.fasterxml.jackson.core:jackson-databind,junit:junit,609,850,2290,0.72,0.27,0.72
com.squareup.okhttp3:okhttp,org.apache.maven.plugin-tools:maven-plugin-annotations,16,232,233,0.07,0.07,0.07
ch.qos.logback:logback-core,com.sun.xml.bind:jaxb-impl,22,227,162,0.1,0.14,0.14
com.fasterxml.jackson.core:jackson-annotations,org.eclipse.jetty:jetty-webapp,65,448,164,0.15,0.4,0.4
com.fasterxml.jackson.core:jackson-annotations,com.fasterxml.jackson.core:jackson-databind,416,448,850,0.93,0.49,0.93
com.fasterxml.jackson.core:jackson-annotations,org.apache.httpcomponents:httpcore,129,448,268,0.29,0.48,0.48
com.google.guava:guava,javax.annotation:javax.annotation-api,146,1199,244,0.12,0.6,0.6
javax.servlet.jsp:jsp-api,org.elasticsearch:elasticsearch,6,106,125,0.06,0.05,0.06
javax.servlet.jsp:jsp-api,org.slf4j:slf4j-jdk14,4,106,110,0.04,0.04,0.04
javax.servlet.jsp:jsp-api,org.apache.curator:curator-framework,7,106,119,0.07,0.06,0.07
javax.servlet.jsp:jsp-api,org.springframework:spring-beans,30,106,254,0.28,0.12,0.28
javax.servlet.jsp:jsp-api,org.apache.hadoop:hadoop-common,10,106,143,0.09,0.07,0.09
org.apache.maven.plugin-tools:maven-plugin-annotations,org.jsoup:jsoup,23,233,238,0.1,0.1,0.1
org.apache.maven.plugin-tools:maven-plugin-annotations,org.springframework:spring-test,29,233,341,0.12,0.09,0.12
org.apache.ant:ant,org.springframework:spring-beans,25,153,254,0.16,0.1,0.16
org.mybatis.spring.boot:mybatis-spring-boot-starter,org.springframework:spring-tx,14,142,172,0.1,0.08,0.1
org.scala-lang:scala-library,org.springframework:spring-aop,20,173,180,0.12,0.11,0.12
com.fasterxml.jackson.core:jackson-core,org.apache.lucene:lucene-core,53,538,140,0.1,0.38,0.38
com.sun.xml.bind:jaxb-impl,org.hamcrest:hamcrest-library,27,162,228,0.17,0.12,0.17
com.sun.xml.bind:jaxb-impl,org.mybatis:mybatis,10,162,126,0.06,0.08,0.08
com.sun.xml.bind:jaxb-impl,org.springframework:spring-web,43,162,289,0.27,0.15,0.27
com.google.inject:guice,javax.servlet.jsp:jsp-api,15,192,106,0.08,0.14,0.14
org.bouncycastle:bcpkix-jdk15on,org.hibernate:hibernate-core,12,155,191,0.08,0.06,0.08
org.apache.poi:poi,org.codehaus.groovy:groovy-all,19,138,119,0.14,0.16,0.16
org.apache.poi:poi,org.springframework:spring-webmvc,38,138,265,0.28,0.14,0.28
org.mockito:mockito-junit-jupiter,xerces:xercesImpl,7,118,113,0.06,0.06,0.06
org.mockito:mockito-all,org.quartz-scheduler:quartz,23,367,141,0.06,0.16,0.16
com.googlecode.json-simple:json-simple,org.springframework:spring-context,28,157,435,0.18,0.06,0.18
com.googlecode.json-simple:json-simple,org.postgresql:postgresql,24,157,251,0.15,0.1,0.15
com.googlecode.json-simple:json-simple,org.openjdk.jmh:jmh-generator-annprocess,10,157,202,0.06,0.05,0.06
org.apache.kafka:kafka-clients,org.springframework:spring-core,27,162,337,0.17,0.08,0.17
com.jayway.jsonpath:json-path,org.apache.avro:avro,14,129,121,0.11,0.12,0.12
junit:junit,org.apache.lucene:lucene-core,114,2290,140,0.05,0.81,0.81
junit:junit,org.seleniumhq.selenium:selenium-java,67,2290,100,0.03,0.67,0.67
junit:junit,org.powermock:powermock-api-mockito2,83,2290,105,0.04,0.79,0.79
org.apache.logging.log4j:log4j-core,org.hibernate.validator:hibernate-validator,22,397,101,0.06,0.22,0.22
org.apache.maven:maven-artifact,org.hibernate.validator:hibernate-validator,6,125,101,0.05,0.06,0.06
mysql:mysql-connector-java,org.codehaus.jackson:jackson-mapper-asl,57,536,155,0.11,0.37,0.37
org.apache.hadoop:hadoop-common,org.hsqldb:hsqldb,16,143,197,0.11,0.08,0.11
org.apache.hadoop:hadoop-common,org.springframework:spring-beans,18,143,254,0.13,0.07,0.13
com.google.code.gson:gson,redis.clients:jedis,61,674,184,0.09,0.33,0.33
com.google.code.gson:gson,io.springfox:springfox-swagger2,37,674,142,0.05,0.26,0.26
javax.activation:activation,org.springframework:spring-web,25,105,289,0.24,0.09,0.24
net.java.dev.jna:jna,org.apache.commons:commons-lang3,78,162,994,0.48,0.08,0.48
net.java.dev.jna:jna,org.springframework:spring-expression,10,162,113,0.06,0.09,0.09
com.alibaba:druid,org.springframework:spring-context-support,26,148,155,0.18,0.17,0.18
com.alibaba:druid,org.eclipse.jetty:jetty-webapp,14,148,164,0.09,0.09,0.09
org.apache.maven:maven-plugin-api,org.easymock:easymock,29,267,183,0.11,0.16,0.16
io.springfox:springfox-swagger2,org.json:json,11,142,232,0.08,0.05,0.08
io.springfox:springfox-swagger2,org.awaitility:awaitility,6,142,161,0.04,0.04,0.04
io.springfox:springfox-swagger2,javax.inject:javax.inject,12,142,189,0.08,0.06,0.08
org.bouncycastle:bcprov-jdk15on,org.openjdk.jmh:jmh-generator-annprocess,19,198,202,0.1,0.09,0.1
javax.xml.bind:jaxb-api,org.slf4j:slf4j-simple,50,305,386,0.16,0.13,0.16
javax.xml.bind:jaxb-api,org.hamcrest:hamcrest-library,37,305,228,0.12,0.16,0.16
org.eclipse.jetty:jetty-server,org.springframework:spring-context-support,34,265,155,0.13,0.22,0.22
org.slf4j:jcl-over-slf4j,org.springframework:spring-jdbc,73,312,220,0.23,0.33,0.33
org.json:json,org.springframework:spring-beans,35,232,254,0.15,0.14,0.15
org.aspectj:aspectjrt,org.quartz-scheduler:quartz,21,111,141,0.19,0.15,0.19
io.springfox:springfox-swagger-ui,org.mongodb:mongo-java-driver,10,128,119,0.08,0.08,0.08
io.springfox:springfox-swagger-ui,org.mybatis:mybatis,21,128,126,0.16,0.17,0.17
org.apache.httpcomponents:httpclient,org.jsoup:jsoup,92,680,238,0.14,0.39,0.39
com.h2database:h2,javax.mail:mail,34,367,156,0.09,0.22,0.22
commons-io:commons-io,javax.servlet:servlet-api,126,1059,265,0.12,0.48,0.48
commons-io:commons-io,io.netty:netty-handler,55,1059,117,0.05,0.47,0.47
commons-io:commons-io,org.apache.logging.log4j:log4j-slf4j-impl,117,1059,248,0.11,0.47,0.47
cglib:cglib,ch.qos.logback:logback-classic,42,135,701,0.31,0.06,0.31
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,com.zaxxer:HikariCP,20,144,147,0.14,0.14,0.14
org.ow2.asm:asm,org.springframework:spring-context,35,183,435,0.19,0.08,0.19
org.apache.commons:commons-csv,org.apache.httpcomponents:httpclient,52,134,680,0.39,0.08,0.39
commons-dbcp:commons-dbcp,org.awaitility:awaitility,10,124,161,0.08,0.06,0.08
commons-logging:commons-logging,org.codehaus.jackson:jackson-mapper-asl,60,370,155,0.16,0.39,0.39
org.codehaus.jackson:jackson-core-asl,org.hibernate:hibernate-validator,17,102,150,0.17,0.11,0.17
javax.ws.rs:javax.ws.rs-api,org.yaml:snakeyaml,32,137,274,0.23,0.12,0.23
javax.servlet:jstl,org.mybatis:mybatis,19,124,126,0.15,0.15,0.15
commons-httpclient:commons-httpclient,org.apache.logging.log4j:log4j-core,35,139,397,0.25,0.09,0.25
com.jcraft:jsch,org.codehaus.jackson:jackson-mapper-asl,18,101,155,0.18,0.12,0.18
com.jcraft:jsch,org.junit.vintage:junit-vintage-engine,8,101,122,0.08,0.07,0.08
com.fasterxml.jackson.core:jackson-databind,org.eclipse.jetty:jetty-webapp,97,850,164,0.11,0.59,0.59
org.apache.commons:commons-text,org.junit.jupiter:junit-jupiter-params,25,188,171,0.13,0.15,0.15
org.apache.commons:commons-text,org.hamcrest:hamcrest-library,27,188,228,0.14,0.12,0.14
ch.qos.logback:logback-core,org.hamcrest:hamcrest,16,227,154,0.07,0.1,0.1
org.seleniumhq.selenium:selenium-java,org.slf4j:slf4j-jdk14,3,100,110,0.03,0.03,0.03
org.postgresql:postgresql,org.springframework:spring-tx,41,251,172,0.16,0.24,0.24
com.google.guava:guava,org.apache.commons:commons-math3,115,1199,183,0.1,0.63,0.63
com.google.guava:guava,org.slf4j:log4j-over-slf4j,90,1199,125,0.08,0.72,0.72
javax.servlet:javax.servlet-api,org.apache.maven:maven-artifact,34,491,125,0.07,0.27,0.27
org.apache.maven.plugin-tools:maven-plugin-annotations,org.springframework:spring-webmvc,23,233,265,0.1,0.09,0.1
org.antlr:antlr4-runtime,org.bouncycastle:bcpkix-jdk15on,10,116,155,0.09,0.06,0.09
org.mybatis.spring.boot:mybatis-spring-boot-starter,org.springframework:spring-jdbc,15,142,220,0.11,0.07,0.11
com.sun.xml.bind:jaxb-impl,org.codehaus.plexus:plexus-utils,14,162,144,0.09,0.1,0.1
com.google.protobuf:protobuf-java,javax.ws.rs:javax.ws.rs-api,28,270,137,0.1,0.2,0.2
com.google.inject:guice,commons-configuration:commons-configuration,22,192,149,0.11,0.15,0.15
com.google.inject:guice,org.springframework:spring-aop,20,192,180,0.1,0.11,0.11
org.apache.poi:poi,org.slf4j:slf4j-simple,17,138,386,0.12,0.04,0.12
joda-time:joda-time,org.springframework:spring-context,104,381,435,0.27,0.24,0.27
com.jayway.jsonpath:json-path,org.seleniumhq.selenium:selenium-java,11,129,100,0.09,0.11,0.11
commons-codec:commons-codec,org.apache.curator:curator-framework,48,596,119,0.08,0.4,0.4
junit:junit,org.springframework:spring-jdbc,181,2290,220,0.08,0.82,0.82
org.apache.logging.log4j:log4j-core,org.slf4j:slf4j-simple,57,397,386,0.14,0.15,0.15
org.apache.logging.log4j:log4j-core,org.codehaus.groovy:groovy-all,18,397,119,0.05,0.15,0.15
org.apache.logging.log4j:log4j-core,org.apache.maven:maven-core,26,397,192,0.07,0.14,0.14
org.apache.maven:maven-artifact,org.junit.jupiter:junit-jupiter-params,12,125,171,0.1,0.07,0.1
org.junit.jupiter:junit-jupiter-engine,org.springframework:spring-test,57,344,341,0.17,0.17,0.17
org.apache.curator:curator-recipes,org.hamcrest:hamcrest-core,12,131,219,0.09,0.05,0.09
com.google.code.gson:gson,org.apache.httpcomponents:httpclient,248,674,680,0.37,0.36,0.37
com.google.code.gson:gson,org.testng:testng,87,674,286,0.13,0.3,0.3
com.google.code.gson:gson,org.apache.kafka:kafka-clients,71,674,162,0.11,0.44,0.44
io.dropwizard.metrics:metrics-core,org.springframework:spring-web,27,154,289,0.18,0.09,0.18
org.apache.maven:maven-core,org.elasticsearch:elasticsearch,7,192,125,0.04,0.06,0.06
javax.xml.bind:jaxb-api,org.apache.curator:curator-framework,23,305,119,0.08,0.19,0.19
com.google.guava:guava,org.springframework:spring-jdbc,109,1199,220,0.09,0.5,0.5
org.eclipse.jetty:jetty-util,org.freemarker:freemarker,14,113,153,0.12,0.09,0.12
org.easymock:easymock,org.eclipse.jetty:jetty-util,22,183,113,0.12,0.19,0.19
org.hsqldb:hsqldb,org.mockito:mockito-core,86,197,922,0.44,0.09,0.44
commons-fileupload:commons-fileupload,org.openjdk.jmh:jmh-core,7,245,215,0.03,0.03,0.03
commons-fileupload:commons-fileupload,org.quartz-scheduler:quartz,47,245,141,0.19,0.33,0.33
io.springfox:springfox-swagger-ui,javax.activation:activation,7,128,105,0.05,0.07,0.07
org.apache.httpcomponents:httpclient,org.eclipse.jetty:jetty-webapp,98,680,164,0.14,0.6,0.6
com.h2database:h2,org.springframework:spring-expression,29,367,113,0.08,0.26,0.26
commons-validator:commons-validator,org.codehaus.jackson:jackson-core-asl,14,108,102,0.13,0.14,0.14
commons-validator:commons-validator,org.apache.httpcomponents:httpmime,19,108,148,0.18,0.13,0.18
commons-validator:commons-validator,org.eclipse.jetty:jetty-servlet,18,108,203,0.17,0.09,0.17
org.apache.commons:commons-compress,org.slf4j:jcl-over-slf4j,59,244,312,0.24,0.19,0.24
org.apache.commons:commons-compress,org.powermock:powermock-module-junit4,46,244,205,0.19,0.22,0.22
commons-io:commons-io,io.dropwizard.metrics:metrics-core,88,1059,154,0.08,0.57,0.57
io.netty:netty-all,org.springframework:spring-expression,14,230,113,0.06,0.12,0.12
io.netty:netty-all,mysql:mysql-connector-java,89,230,536,0.39,0.17,0.39
com.zaxxer:HikariCP,javax.validation:validation-api,18,147,194,0.12,0.09,0.12
org.javassist:javassist,org.springframework.boot:spring-boot-starter-test,12,229,130,0.05,0.09,0.09
cglib:cglib,org.mongodb:mongo-java-driver,12,135,119,0.09,0.1,0.1
cglib:cglib,com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,14,135,125,0.1,0.11,0.11
org.junit.jupiter:junit-jupiter-params,org.mockito:mockito-all,12,171,367,0.07,0.03,0.07
org.elasticsearch:elasticsearch,org.slf4j:slf4j-log4j12,36,125,521,0.29,0.07,0.29
org.hamcrest:hamcrest-library,org.junit.jupiter:junit-jupiter,15,228,157,0.07,0.1,0.1
com.alibaba:fastjson,org.json:json,19,338,232,0.06,0.08,0.08
commons-net:commons-net,org.ow2.asm:asm,17,129,183,0.13,0.09,0.13
javax.annotation:javax.annotation-api,javax.servlet:javax.servlet-api,109,244,491,0.45,0.22,0.45
javax.annotation:javax.annotation-api,org.junit.jupiter:junit-jupiter-api,35,244,288,0.14,0.12,0.14
org.powermock:powermock-module-junit4,org.springframework:spring-context,45,205,435,0.22,0.1,0.22
org.apache.lucene:lucene-core,org.apache.maven:maven-artifact,7,140,125,0.05,0.06,0.06
com.thoughtworks.xstream:xstream,io.springfox:springfox-swagger-ui,9,127,128,0.07,0.07,0.07
org.hibernate:hibernate-core,org.testng:testng,25,191,286,0.13,0.09,0.13
org.apache.zookeeper:zookeeper,org.codehaus.jackson:jackson-core-asl,30,193,102,0.16,0.29,0.29
ch.qos.logback:logback-classic,com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,51,701,144,0.07,0.35,0.35
org.apache.velocity:velocity,org.codehaus.groovy:groovy-all,24,125,119,0.19,0.2,0.2
commons-configuration:commons-configuration,org.apache.kafka:kafka-clients,19,149,162,0.13,0.12,0.13
org.codehaus.jackson:jackson-core-asl,org.junit.jupiter:junit-jupiter-api,11,102,288,0.11,0.04,0.11
javax.ws.rs:javax.ws.rs-api,org.seleniumhq.selenium:selenium-java,7,137,100,0.05,0.07,0.07
javax.ws.rs:javax.ws.rs-api,org.apache.curator:curator-recipes,14,137,131,0.1,0.11,0.11
org.slf4j:jul-to-slf4j,org.slf4j:slf4j-simple,36,153,386,0.24,0.09,0.24
org.slf4j:jul-to-slf4j,org.springframework:spring-web,33,153,289,0.22,0.11,0.22
javax.servlet:jstl,org.openjdk.jmh:jmh-generator-annprocess,3,124,202,0.02,0.01,0.02
org.apache.httpcomponents:httpmime,org.codehaus.groovy:groovy-all,17,148,119,0.11,0.14,0.14
com.fasterxml.jackson.core:jackson-databind,javax.inject:javax.inject,86,850,189,0.1,0.46,0.46
org.apache.commons:commons-text,org.apache.httpcomponents:httpmime,27,188,148,0.14,0.18,0.18
ch.qos.logback:logback-core,org.apache.maven.plugin-tools:maven-plugin-annotations,17,227,233,0.07,0.07,0.07
ch.qos.logback:logback-core,javax.activation:activation,11,227,105,0.05,0.1,0.1
com.fasterxml.jackson.core:jackson-annotations,org.mockito:mockito-junit-jupiter,29,448,118,0.06,0.25,0.25
javax.servlet.jsp:jsp-api,org.apache.thrift:libthrift,7,106,104,0.07,0.07,0.07
org.codehaus.plexus:plexus-utils,org.projectlombok:lombok,16,144,435,0.11,0.04,0.11
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,org.mongodb:mongo-java-driver,7,110,119,0.06,0.06,0.06
org.apache.ant:ant,org.apache.lucene:lucene-analyzers-common,20,153,110,0.13,0.18,0.18
org.apache.ant:ant,org.glassfish.jaxb:jaxb-runtime,20,153,147,0.13,0.14,0.14
commons-beanutils:commons-beanutils,org.apache.curator:curator-recipes,39,281,131,0.14,0.3,0.3
com.fasterxml.jackson.core:jackson-core,org.mongodb:mongo-java-driver,46,538,119,0.09,0.39,0.39
com.sun.xml.bind:jaxb-impl,org.json:json,24,162,232,0.15,0.1,0.15
com.sun.xml.bind:jaxb-impl,commons-collections:commons-collections,46,162,284,0.28,0.16,0.28
org.eclipse.jetty:jetty-servlet,org.mybatis.spring.boot:mybatis-spring-boot-starter,4,203,142,0.02,0.03,0.03
org.apache.logging.log4j:log4j-slf4j-impl,org.apache.poi:poi-ooxml,21,248,146,0.08,0.14,0.14
org.apache.logging.log4j:log4j-slf4j-impl,org.apache.velocity:velocity,15,248,125,0.06,0.12,0.12
org.bouncycastle:bcpkix-jdk15on,org.mongodb:mongo-java-driver,12,155,119,0.08,0.1,0.1
org.bouncycastle:bcpkix-jdk15on,org.testng:testng,19,155,286,0.12,0.07,0.12
org.apache.poi:poi,org.apache.poi:poi-ooxml,99,138,146,0.72,0.68,0.72
org.mockito:mockito-junit-jupiter,org.slf4j:slf4j-log4j12,13,118,521,0.11,0.02,0.11
joda-time:joda-time,org.apache.hadoop:hadoop-common,52,381,143,0.14,0.36,0.36
joda-time:joda-time,org.hamcrest:hamcrest,28,381,154,0.07,0.18,0.18
com.googlecode.json-simple:json-simple,org.codehaus.groovy:groovy-all,15,157,119,0.1,0.13,0.13
org.glassfish.jaxb:jaxb-runtime,org.yaml:snakeyaml,29,147,274,0.2,0.11,0.2
com.jayway.jsonpath:json-path,org.codehaus.jackson:jackson-core-asl,9,129,102,0.07,0.09,0.09
com.jayway.jsonpath:json-path,org.junit.jupiter:junit-jupiter-api,19,129,288,0.15,0.07,0.15
commons-codec:commons-codec,org.apache.commons:commons-pool2,53,596,117,0.09,0.45,0.45
junit:junit,org.codehaus.groovy:groovy-all,93,2290,119,0.04,0.78,0.78
mysql:mysql-connector-java,org.reflections:reflections,47,536,172,0.09,0.27,0.27
com.google.code.gson:gson,javax.ws.rs:javax.ws.rs-api,56,674,137,0.08,0.41,0.41
javax.activation:activation,org.freemarker:freemarker,12,105,153,0.11,0.08,0.11
javax.activation:activation,javax.servlet.jsp:jsp-api,10,105,106,0.1,0.09,0.1
org.easymock:easymock,org.hibernate:hibernate-entitymanager,16,183,108,0.09,0.15,0.15
org.easymock:easymock,org.slf4j:jul-to-slf4j,14,183,153,0.08,0.09,0.09
io.dropwizard.metrics:metrics-core,org.springframework:spring-context-support,12,154,155,0.08,0.08,0.08
io.dropwizard.metrics:metrics-core,io.netty:netty-handler,27,154,117,0.18,0.23,0.23
io.dropwizard.metrics:metrics-core,org.openjdk.jmh:jmh-core,31,154,215,0.2,0.14,0.2
io.springfox:springfox-swagger2,org.springframework:spring-context,35,142,435,0.25,0.08,0.25
io.springfox:springfox-swagger2,org.apache.logging.log4j:log4j-api,20,142,321,0.14,0.06,0.14
org.bouncycastle:bcprov-jdk15on,org.hibernate:hibernate-validator,13,198,150,0.07,0.09,0.09
org.bouncycastle:bcprov-jdk15on,org.seleniumhq.selenium:selenium-java,13,198,100,0.07,0.13,0.13
org.bouncycastle:bcprov-jdk15on,org.junit.jupiter:junit-jupiter-engine,34,198,344,0.17,0.1,0.17
org.eclipse.jetty:jetty-server,org.slf4j:log4j-over-slf4j,37,265,125,0.14,0.3,0.3
org.assertj:assertj-core,org.springframework:spring-beans,53,462,254,0.11,0.21,0.21
org.assertj:assertj-core,org.springframework:spring-orm,20,462,126,0.04,0.16,0.16
commons-fileupload:commons-fileupload,org.springframework:spring-expression,38,245,113,0.16,0.34,0.34
commons-fileupload:commons-fileupload,org.apache.avro:avro,13,245,121,0.05,0.11,0.11
io.springfox:springfox-swagger-ui,org.slf4j:slf4j-log4j12,17,128,521,0.13,0.03,0.13
javax.servlet:servlet-api,org.apache.velocity:velocity,36,265,125,0.14,0.29,0.29
com.h2database:h2,org.mybatis:mybatis,35,367,126,0.1,0.28,0.28
com.h2database:h2,org.springframework:spring-test,94,367,341,0.26,0.28,0.28
commons-validator:commons-validator,org.freemarker:freemarker,16,108,153,0.15,0.1,0.15
commons-validator:commons-validator,jakarta.xml.bind:jakarta.xml.bind-api,6,108,114,0.06,0.05,0.06
commons-validator:commons-validator,org.reflections:reflections,18,108,172,0.17,0.1,0.17
commons-validator:commons-validator,xerces:xercesImpl,22,108,113,0.2,0.19,0.2
org.apache.commons:commons-compress,org.springframework:spring-jdbc,34,244,220,0.14,0.15,0.15
io.netty:netty-all,org.springframework.security:spring-security-web,10,230,100,0.04,0.1,0.1
com.zaxxer:HikariCP,org.springframework:spring-expression,12,147,113,0.08,0.11,0.11
com.zaxxer:HikariCP,org.powermock:powermock-api-mockito2,13,147,105,0.09,0.12,0.12
cglib:cglib,org.springframework:spring-context-support,25,135,155,0.19,0.16,0.19
cglib:cglib,org.hamcrest:hamcrest,11,135,154,0.08,0.07,0.08
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,org.springframework:spring-orm,11,144,126,0.08,0.09,0.09
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,org.springframework:spring-expression,20,144,113,0.14,0.18,0.18
org.elasticsearch:elasticsearch,org.json:json,12,125,232,0.1,0.05,0.1
org.hamcrest:hamcrest-library,org.springframework:spring-context,48,228,435,0.21,0.11,0.21
org.hamcrest:hamcrest-library,org.mybatis:mybatis,5,228,126,0.02,0.04,0.04
com.alibaba:fastjson,commons-validator:commons-validator,6,338,108,0.02,0.06,0.06
com.alibaba:fastjson,com.zaxxer:HikariCP,26,338,147,0.08,0.18,0.18
com.alibaba:fastjson,mysql:mysql-connector-java,144,338,536,0.43,0.27,0.43
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,io.netty:netty-handler,14,125,117,0.11,0.12,0.12
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,com.google.code.findbugs:jsr305,30,125,332,0.24,0.09,0.24
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,org.springframework:spring-orm,20,125,126,0.16,0.16,0.16
org.codehaus.groovy:groovy-all,org.hibernate:hibernate-entitymanager,15,119,108,0.13,0.14,0.14
commons-dbcp:commons-dbcp,org.codehaus.groovy:groovy-all,18,124,119,0.15,0.15,0.15
com.thoughtworks.xstream:xstream,org.apache.httpcomponents:httpclient,55,127,680,0.43,0.08,0.43
com.thoughtworks.xstream:xstream,commons-lang:commons-lang,47,127,444,0.37,0.11,0.37
com.thoughtworks.xstream:xstream,org.bouncycastle:bcprov-jdk15on,15,127,198,0.12,0.08,0.12
com.thoughtworks.xstream:xstream,javax.xml.bind:jaxb-api,25,127,305,0.2,0.08,0.2
io.netty:netty-handler,org.mockito:mockito-core,70,117,922,0.6,0.08,0.6
org.eclipse.jetty:jetty-webapp,org.slf4j:slf4j-api,126,164,1420,0.77,0.09,0.77
org.apache.zookeeper:zookeeper,org.springframework:spring-orm,25,193,126,0.13,0.2,0.2
org.apache.curator:curator-framework,org.apache.derby:derby,13,119,101,0.11,0.13,0.13
org.junit.vintage:junit-vintage-engine,org.springframework:spring-tx,11,122,172,0.09,0.06,0.09
org.apache.velocity:velocity,org.springframework.boot:spring-boot-starter-web,6,125,145,0.05,0.04,0.05
commons-configuration:commons-configuration,org.springframework:spring-webmvc,29,149,265,0.19,0.11,0.19
org.hamcrest:hamcrest-all,org.springframework:spring-context,42,236,435,0.18,0.1,0.18
javax.servlet:jstl,org.aspectj:aspectjrt,28,124,111,0.23,0.25,0.25
org.apache.httpcomponents:httpmime,org.apache.zookeeper:zookeeper,19,148,193,0.13,0.1,0.13
commons-httpclient:commons-httpclient,org.mockito:mockito-junit-jupiter,4,139,118,0.03,0.03,0.03
com.fasterxml.jackson.core:jackson-databind,org.slf4j:slf4j-api,529,850,1420,0.62,0.37,0.62
org.apache.commons:commons-text,org.elasticsearch:elasticsearch,18,188,125,0.1,0.14,0.14
ch.qos.logback:logback-core,org.junit.jupiter:junit-jupiter-api,26,227,288,0.11,0.09,0.11
ch.qos.logback:logback-core,org.yaml:snakeyaml,39,227,274,0.17,0.14,0.17
javax.servlet:javax.servlet-api,org.mockito:mockito-core,200,491,922,0.41,0.22,0.41
javax.servlet:javax.servlet-api,org.bouncycastle:bcprov-jdk15on,61,491,198,0.12,0.31,0.31
org.codehaus.plexus:plexus-utils,org.eclipse.jetty:jetty-webapp,19,144,164,0.13,0.12,0.13
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,org.eclipse.jetty:jetty-util,15,110,113,0.14,0.13,0.14
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,com.github.ben-manes.caffeine:caffeine,18,110,111,0.16,0.16,0.16
org.antlr:antlr4-runtime,org.elasticsearch:elasticsearch,9,116,125,0.08,0.07,0.08
org.hamcrest:hamcrest-core,org.javassist:javassist,36,219,229,0.16,0.16,0.16
commons-beanutils:commons-beanutils,org.apache.maven:maven-core,21,281,192,0.07,0.11,0.11
org.scala-lang:scala-library,org.slf4j:slf4j-jdk14,8,173,110,0.05,0.07,0.07
com.sun.xml.bind:jaxb-impl,org.reflections:reflections,24,162,172,0.15,0.14,0.15
org.eclipse.jetty:jetty-servlet,org.glassfish.jaxb:jaxb-runtime,31,203,147,0.15,0.21,0.21
com.google.inject:guice,org.openjdk.jmh:jmh-core,17,192,215,0.09,0.08,0.09
org.bouncycastle:bcpkix-jdk15on,org.mockito:mockito-core,87,155,922,0.56,0.09,0.56
org.apache.poi:poi,org.eclipse.jetty:jetty-servlet,13,138,203,0.09,0.06,0.09
org.mockito:mockito-junit-jupiter,org.powermock:powermock-module-junit4,9,118,205,0.08,0.04,0.08
joda-time:joda-time,org.eclipse.jetty:jetty-webapp,45,381,164,0.12,0.27,0.27
junit:junit,org.springframework:spring-webmvc,214,2290,265,0.09,0.81,0.81
org.apache.logging.log4j:log4j-core,org.apache.velocity:velocity,25,397,125,0.06,0.2,0.2
org.junit.jupiter:junit-jupiter-engine,org.reflections:reflections,22,344,172,0.06,0.13,0.13
org.powermock:powermock-api-mockito2,org.springframework:spring-test,20,105,341,0.19,0.06,0.19
org.apache.curator:curator-recipes,org.apache.maven:maven-artifact,7,131,125,0.05,0.06,0.06
net.java.dev.jna:jna,org.seleniumhq.selenium:selenium-java,12,162,100,0.07,0.12,0.12
net.java.dev.jna:jna,org.mybatis.spring.boot:mybatis-spring-boot-starter,9,162,142,0.06,0.06,0.06
net.java.dev.jna:jna,org.mybatis:mybatis,4,162,126,0.02,0.03,0.03
io.dropwizard.metrics:metrics-core,org.springframework:spring-context,37,154,435,0.24,0.09,0.24
io.dropwizard.metrics:metrics-core,org.hamcrest:hamcrest-all,25,154,236,0.16,0.11,0.16
com.github.ben-manes.caffeine:caffeine,org.powermock:powermock-module-junit4,12,111,205,0.11,0.06,0.11
com.github.ben-manes.caffeine:caffeine,org.apache.commons:commons-math3,22,111,183,0.2,0.12,0.2
com.github.ben-manes.caffeine:caffeine,com.google.code.findbugs:jsr305,32,111,332,0.29,0.1,0.29
org.apache.maven:maven-plugin-api,org.springframework:spring-webmvc,30,267,265,0.11,0.11,0.11
org.apache.maven:maven-plugin-api,redis.clients:jedis,15,267,184,0.06,0.08,0.08
org.apache.avro:avro,org.junit.jupiter:junit-jupiter-engine,18,121,344,0.15,0.05,0.15
javax.xml.bind:jaxb-api,org.mybatis:mybatis,14,305,126,0.05,0.11,0.11
javax.ws.rs:javax.ws.rs-api,org.apache.logging.log4j:log4j-slf4j-impl,18,137,248,0.13,0.07,0.13
org.openjdk.jmh:jmh-core,org.quartz-scheduler:quartz,10,215,141,0.05,0.07,0.07
